Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,Price_in_taka,City_cumilla,City_dhaka,City_gazipur,City_narayanganj-city,Price_per_sqft,Total_rooms
-0.05171443606203619,1.1930231529118214,-0.5624146150010018,0.027892800123960285,0.0055733202814376185,0.9070367169875463,False,True,False,False,0.9647420597445561,0.35178546924529097
-0.05171443606203619,0.006457084075037997,-1.3859236263039292,0.027892800123960285,-0.037271530400149785,0.14830148083688507,False,True,False,False,0.13815914633904236,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,0.6728489019533895,0.027892800123960285,-0.09355790286419599,-0.002758928170486383,False,True,False,False,0.07293798486113029,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.150660109349538,0.027892800123960285,0.03329645895775888,0.2547304053648059,False,True,False,False,0.09675037401826245,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.150660109349538,0.027892800123960285,0.1277231494795319,1.1988579616608774,False,True,False,False,0.7809613733678908,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.5624146150010018,0.027892800123960285,-0.13052208776595767,-0.12978699938123056,False,True,False,False,-0.048899240024219415,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,1.496357913256317,0.027892800123960285,0.03228834482407447,0.2203984942267669,False,True,False,False,0.05989319066296615,-0.03619398940505988
0.47208086252955817,1.1930231529118214,-0.9741691206524654,0.027892800123960285,0.06572413025794072,0.3577261387789228,False,True,False,False,0.13901366195838405,0.7397649278956419
-0.05171443606203619,0.006457084075037997,1.496357913256317,0.027892800123960285,-0.08902138926261614,-0.15725252829166175,False,True,False,False,-0.20829162532725598,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-1.3859236263039292,0.027892800123960285,0.07950169008496098,0.2547304053648059,False,True,False,False,0.0074835320784662086,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.5624146150010018,0.027892800123960285,-0.10531923442384743,-0.15725252829166175,False,True,False,False,-0.17292288275091228,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.150660109349538,0.027892800123960285,-0.10531923442384743,-0.15725252829166175,False,True,False,False,-0.17292288275091228,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,0.6728489019533895,0.027892800123960285,-0.10531923442384743,-0.15725252829166175,False,True,False,False,-0.17292288275091228,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-1.3859236263039292,0.027892800123960285,-0.004507821055406477,0.28906231650284486,False,True,False,False,0.2325726502711582,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,0.26109439630192577,0.027892800123960285,-0.07171542996770044,-0.05425679487754483,False,True,False,False,-0.07529117590207222,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.5624146150010018,0.027892800123960285,-0.08011638108173719,-0.10575466158460328,False,True,False,False,-0.13998864880640105,-0.03619398940505988
-0.5755097346536305,-1.1801089847617454,-0.9741691206524654,0.027892800123960285,-0.19772969667825163,-0.21904996834013188,False,True,False,False,0.001965218213096884,-0.8121529067057616
-0.05171443606203619,0.006457084075037997,-0.150660109349538,0.027892800123960285,0.06992460581495909,0.3233942276408838,False,True,False,False,0.094921603888894,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,0.26109439630192577,0.027892800123960285,-0.12464142198613194,-0.05425679487754483,False,True,False,False,0.08606711560429371,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.150660109349538,0.027892800123960285,-0.05323333751681961,0.017840218512336997,False,True,False,False,-0.008797207586443019,-0.03619398940505988
0.47208086252955817,1.1930231529118214,1.0846034076048532,0.027892800123960285,0.0425375051831993,0.16890062751970847,False,True,False,False,-0.017829834276438566,0.7397649278956419
0.47208086252955817,1.1930231529118214,-0.9741691206524654,0.027892800123960285,0.28952546793587963,2.2459812513710657,False,True,False,False,1.0865784694503247,0.7397649278956419
-0.05171443606203619,0.006457084075037997,1.9081124189077807,0.027892800123960285,0.5163511480148718,3.344602407788313,False,True,False,False,1.1387378744791572,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-0.5624146150010018,0.027892800123960285,0.12990739676918145,1.4563472951961696,False,True,False,False,1.0038457577701314,-0.03619398940505988
-0.05171443606203619,-1.1801089847617454,-0.9741691206524654,0.027892800123960285,-0.12632161220893928,-0.14695295495025004,False,True,False,False,-0.09759925323016055,-0.42417344805541074
-0.5755097346536305,-1.1801089847617454,-1.3859236263039292,0.027892800123960285,-0.21453159890632512,-0.3254788928680527,False,True,False,False,-0.28753401687781155,-0.8121529067057616
-0.05171443606203619,1.1930231529118214,-1.3859236263039292,0.027892800123960285,-0.10011064473314464,0.11740276081265001,False,True,False,False,0.31273211084466385,0.35178546924529097
-0.5755097346536305,-1.1801089847617454,-0.150660109349538,0.027892800123960285,-0.1725268433361414,-0.27741421727479815,False,True,False,False,-0.2684321611899951,-0.8121529067057616
-0.05171443606203619,0.006457084075037997,-0.9741691206524654,0.027892800123960285,-0.09691828330981068,0.055605320764179865,False,True,False,False,0.18836159766556848,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,0.26109439630192577,0.027892800123960285,-0.12212113665192093,-0.17441848386068123,False,True,False,False,-0.1649637762143221,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-1.3859236263039292,0.027892800123960285,0.019854937175300087,0.37918358324019713,False,True,False,False,0.2739546783890827,-0.03619398940505988
-0.05171443606203619,0.006457084075037997,-1.3859236263039292,0.027892800123960285,-0.07171542996770044,0.4263899610550007,False,True,False,False,0.6972727652496192,-0.03619398940505988
